  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* , YCP ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
233,POWERGRID,33.3,34,33.3,33.4,34,-0.7,141,2.297,"68,517"
234,PRAGATIINS,34,35.1,34,34.1,35,-1,29,0.333,"9,726"
235,PRAGATILIF,110.9,110.9,108.9,109.7,110.2,0.7,32,0.653,"5,975"
236,PREMIERBAN,8.9,9,8.8,8.9,8.9,0,90,0.667,"75,134"
237,PREMIERCEM,63.6,64.8,63.6,64.2,63.9,-0.3,33,0.542,"8,446"
238,PREMIERLEA,7.7,7.7,7.6,7.6,7.8,-0.1,30,0.329,"43,052"
239,PRIME1ICBA,4.1,4.2,4.1,4.1,4.2,-0.1,14,0.099,"24,000"
240,PRIMEBANK,15.3,15.9,15.2,15.8,15.5,-0.2,84,2.159,"137,247"
241,PRIMEFIN,15,15,14.9,15,15.1,-0.1,134,2.196,"146,917"
242,PRIMEINSUR,14.9,15.1,14.7,15,15.2,-0.3,28,0.238,"15,942"
243,PRIMELIFE,52.6,54.1,52.6,52.7,54,-1.4,60,0.97,"18,298"
244,PRIMETEX,17,17.3,16.6,16.9,17.5,-0.5,4,0.237,"14,000"
245,PROGRESLIF,78,78,74.2,76.5,78.6,-0.6,18,0.141,"1,840"
246,PROVATIINS,15.6,16.3,15.2,15.3,15.7,-0.1,25,0.813,"53,092"
247,PTL,17,17.1,16.1,17,16.7,0.3,250,5.108,"304,541"
248,PUBALIBANK,19.6,20.1,19.5,19.9,19.7,-0.1,178,5.049,"254,974"
249,PURABIGEN,16.4,16.9,16.2,16.5,16.5,-0.1,41,0.269,"16,350"
250,QSMDRYCELL,55,56.8,54.6,54.9,56.2,-1.2,327,8.782,"159,096"
251,RAHIMAFOOD,28.8,29.2,28.8,29,29.4,-0.6,31,0.167,"5,765"
252,RAHIMTEXT,233,238.3,232.3,234.3,235.9,-2.9,120,1.974,"8,383"
253,RAKCERAMIC,51,52.9,50.9,51.1,51.8,-0.8,286,6.026,"117,219"
254,RANFOUNDRY,98.9,99.4,98.1,98.6,98.1,0.8,27,0.556,"5,651"
255,RDFOOD,16.5,16.8,16.4,16.5,16.8,-0.3,164,2.002,"120,711"
256,RECKITTBEN,"1,725","1,737.90","1,690","1,720.60","1,697",28,349,7.901,"4,608"
257,RELIANCE1,6.2,6.3,6.2,6.3,6.3,-0.1,8,0.132,"21,000"
258,RELIANCINS,40.8,40.8,39.9,39.9,41.1,-0.3,3,0.011,280
259,RENATA,"1,162.20","1,168.90","1,150","1,162.30","1,155.50",6.7,720,38.049,"32,761"
260,RENWICKJA,250.5,269.8,249,251.3,265.7,-15.2,202,4.189,"16,342"
261,REPUBLIC,17.7,17.9,17.7,17.8,17.8,-0.1,14,0.339,"19,076"
262,RNSPIN,24,24.5,24,24.1,24.3,-0.3,144,2.6,"107,702"
263,RSRMSTEEL,48,48.5,47.7,47.8,48,0,267,6.405,"133,647"
264,RUPALIBANK,44,45,41,43.6,43,1,20,0.146,"3,349"
265,RUPALIINS,20,20.1,19.9,20,19.9,0.1,104,1.732,"86,498"
266,RUPALILIFE,41.6,42.3,41.6,41.7,42.5,-0.9,52,0.497,"11,840"
267,SAFKOSPINN,19.5,20,19.3,19.7,19.5,0,120,2.013,"102,781"
268,SAIFPOWER,65.6,67.3,65.3,65.7,66.4,-0.8,"1,116",44.968,"680,931"
269,SAIHAMCOT,19.1,19.7,19.1,19.1,20.1,-1,73,1.245,"64,362"
270,SAIHAMTEX,22.3,22.7,22,22.6,22.5,-0.2,61,1.979,"88,250"
271,SALAMCRST,25.1,25.7,25.1,25.2,25.5,-0.4,90,1.95,"77,295"
272,SALVOCHEM,16.5,16.6,16.4,16.5,16.5,0,116,1.349,"81,859"
273,SAMATALETH,17.6,17.6,17.5,17.5,16,1.6,7,0.026,"1,510"
274,SAMORITA,77.2,77.7,77.2,77.5,78.1,-0.9,20,0.389,"5,020"
275,SANDHANINS,57.5,57.5,56.8,57.1,57.2,0.3,124,1.493,"26,142"
276,SAPORTL,55.7,56.6,55.1,55.4,56.1,-0.4,838,25.217,"452,531"
277,SAVAREFR,0,0,0,46.3,46.3,--,0,0,0
278,SEBL1STMF,8.3,8.3,8.2,8.2,8.2,0.1,14,0.753,"91,660"
279,SHAHJABANK,11.2,11.3,10.7,11.2,11.3,-0.1,194,3.58,"319,483"
280,SHASHADNIM,41.2,42.3,41,41.4,41.4,-0.2,"4,048",67.195,"1,616,672"
281,SHURWID,21.8,22,21.5,21.7,21.7,0.1,177,2.124,"97,929"
282,SHYAMPSUG,7.2,7.3,7.1,7.2,7.4,-0.2,4,0.012,"1,700"
283,SIBL,13.3,13.4,12.8,13.2,13,0.3,138,3.852,"294,719"
284,SINGERBD,180.9,182.6,179,180.2,180.6,0.3,514,13.771,"76,531"
285,SINOBANGLA,24.7,25.5,24.7,24.8,25.1,-0.4,66,1.21,"48,380"
286,SONALIANSH,107.5,107.6,105,105.8,107.2,0.3,138,1.709,"16,097"
287,SONARBAINS,15.7,16.2,15.2,15.4,15.4,0.3,13,0.224,"14,559"
288,SONARGAON,9.9,9.9,9.9,9.9,10,-0.1,3,0.016,"1,577"
289,SOUTHEASTB,16,16.2,15.9,16,16.1,-0.1,128,5.095,"318,668"
290,SPCERAMICS,11.5,12.2,11.3,11.3,11.3,0.2,101,0.726,"63,398"
291,SPCL,183.3,186.8,181.6,183.1,182.2,1.1,"1,649",50.925,"278,226"
292,SPPCL,47.4,48.8,47.3,47.5,48.3,-0.9,450,13.931,"292,429"
293,SQUARETEXT,88.9,92,88.9,89.1,90.5,-1.6,267,7.11,"79,141"
294,SQURPHARMA,261.7,265.4,260.5,261.8,265.3,-3.6,"2,569",151.871,"578,967"
295,STANCERAM,36,36.5,36,36.2,35.8,0.2,7,0.031,860
296,STANDARINS,21.5,21.5,21.1,21.1,21.7,-0.2,12,0.061,"2,892"
297,STANDBANKL,11.5,11.6,11.3,11.5,11.3,0.2,135,4.181,"363,962"
298,STYLECRAFT,0,0,0,879.7,879.7,--,0,0,0
299,SUMITPOWER,34.3,35.3,34.2,34.4,35.1,-0.8,413,10.909,"316,421"
300,SUNLIFEINS,34.9,35.7,34.7,35,35.2,-0.3,53,1.562,"44,456"
301,TAKAFULINS,20.3,20.5,19.3,19.9,20.7,-0.4,15,0.145,"7,271"
302,TALLUSPIN,14.6,14.6,14.3,14.4,14.6,0,104,1.238,"86,162"
303,TITASGAS,73.3,73.4,72.3,73.1,72.9,0.4,219,13.568,"186,437"
304,TRUSTB1MF,4.5,4.6,4.5,4.5,4.6,-0.1,43,1.103,"244,566"
305,TRUSTBANK,13.4,13.5,13.3,13.5,13.5,-0.1,89,1.141,"85,320"
306,TUNGHAI,20.9,21.2,20.7,20.8,20.8,0.1,588,16.996,"814,536"
307,UCBL,19.9,20.7,19.9,20,20.4,-0.5,354,11.326,"562,821"
308,UNIONCAP,15.3,15.5,14.9,15.2,15.6,-0.3,66,1.041,"68,370"
309,UNIQUEHRL,46.1,49,45.8,46.3,49.2,-3.1,886,24.022,"509,688"
310,UNITEDAIR,7.7,7.9,7.7,7.8,7.8,-0.1,617,11.695,"1,506,680"
311,UNITEDFIN,19.8,20,19.4,19.7,19.6,0.2,63,1.237,"62,990"
312,UNITEDINS,24.2,24.9,24,24.2,24.5,-0.3,14,0.101,"4,188"
313,USMANIAGL,109.4,110,108,108.5,109.8,-0.4,85,0.978,"8,990"
314,UTTARABANK,20.7,21.3,20.7,20.7,22.9,-2.2,219,8.849,"427,371"
315,UTTARAFIN,61.8,63.3,61.5,61.8,63.7,-1.9,132,3.039,"48,760"
316,WATACHEM,217,220,214,214.7,217.3,-0.3,146,3.366,"15,597"
317,WMSHIPYARD,42.7,43.9,42.7,43,43.7,-1,990,30.457,"705,196"
318,ZAHEENSPIN,21.2,22.4,21,21.2,22.3,-1.1,"1,162",19.156,"886,071"
319,ZAHINTEX,13.1,13.2,12.5,12.8,12.8,0.3,78,0.741,"58,223"
320,ZEALBANGLA,7,7.2,7,7,7.3,-0.3,6,0.023,"3,200"
