  #   ,TRADING CODE ,  LTP*  ,  HIGH   ,  LOW   ,CLOSEP* ,    YCP    ,CHANGE ,  TRADE   ,VALUE (mn),   VOLUME   
83,DBH1STMF,3.9,3.9,3.7,3.9,3.8,0.1,36,0.823,"215,937"
84,DELTALIFE,112,112.9,107.8,111.4,109.1,2.9,"1,067",23.685,"213,104"
85,DELTASPINN,10.1,10.2,9.5,9.9,9.5,0.6,365,4.883,"493,350"
86,DESCO,60.5,61.2,59.8,60.7,59.4,1.1,493,25.757,"425,418"
87,DESHBANDHU,11.8,12.1,11.3,11.8,11.1,0.7,463,7.961,"674,419"
88,DHAKABANK,15,15,14.2,14.7,14.5,0.5,44,0.272,"18,649"
89,DHAKAINS,16.7,16.9,15.5,16.7,15.4,1.3,78,0.857,"52,934"
90,DSHGARME,70,70,64.7,69.2,63.7,6.3,110,1.188,"17,391"
91,DULAMIACOT,6.9,6.9,6.9,6.9,6.8,0.1,11,0.01,"1,500"
92,DUTCHBANGL,69.5,70,68.6,69.5,69.4,0.1,54,2.558,"36,744"
93,EASTERNINS,23.1,23.2,21,22,22.7,0.4,46,0.445,"19,740"
94,EASTLAND,21.6,22,20.8,21.2,20.3,1.3,39,0.476,"22,567"
95,EASTRNLUB,316.1,320,315,316.2,328.4,-12.3,9,0.179,565
96,EBL,25.7,26.9,25.6,26.2,26.7,-1,20,0.462,"17,644"
97,EBL1STMF,4.1,4.2,4,4.2,4.1,0,46,0.644,"155,984"
98,EBLNRBMF,4,4,4,4,4,0,5,0.044,"11,100"
99,ECABLES,105.1,107,105.1,105.9,100.1,5,76,1.84,"17,350"
100,EHL,39.3,40.5,37.6,39.7,38.1,1.2,185,3.433,"87,303"
101,EMERALDOIL,32.3,33.4,32.1,32.5,32.4,-0.1,152,3.247,"99,040"
102,ENVOYTEX,44.7,46.1,44.7,45.1,45.2,-0.5,181,8.308,"183,169"
103,EXIM1STMF,0,0,0,6,6,--,0,0,0
104,EXIMBANK,9.2,9.4,9.1,9.2,9.3,-0.1,341,9.858,"1,064,509"
105,FAMILYTEX,13.8,13.8,13.2,13.6,13.2,0.6,384,7.372,"544,729"
106,FARCHEM,32.8,32.8,30.9,32.8,29.9,2.9,604,35.03,"1,077,454"
107,FAREASTFIN,11.5,11.5,11.3,11.5,10.5,1,400,9.722,"846,121"
108,FAREASTLIF,56.5,57.6,55,57.1,54.3,2.2,102,2.137,"37,685"
109,FASFIN,12.6,12.6,11.7,12.5,12.1,0.5,62,0.805,"65,587"
110,FBFIF,5.7,6,5.7,6,5.5,0.2,2,0.004,600
111,FEDERALINS,11.7,12,11.3,11.8,11.5,0.2,49,0.348,"29,441"
112,FEKDIL,18.6,19.1,18,18.4,18,0.6,152,3.217,"172,035"
113,FINEFOODS,8.2,8.2,8,8.1,8.1,0.1,24,0.156,"19,201"
114,FIRSTFIN,11.2,11.2,10.5,11.1,10.3,0.9,156,2.278,"209,165"
